0	The	O_x	Su	O_y
1	type	O	muerte	O
1	type	O	temporada	O
1	type	O	julio	O
1	type	O	en	O
1	components	O	muerte	O
1	components	O	temporada	O
1	components	O	julio	O
1	components	O	en	O
1	film	O	muerte	O
1	film	O	temporada	O
1	film	O	julio	O
1	film	O	en	O
1	by	O	muerte	O
1	by	O	temporada	O
1	by	O	julio	O
1	by	O	en	O
1	song	O	muerte	O
1	song	O	temporada	O
1	song	O	julio	O
1	song	O	en	O
1	main	O	muerte	O
1	main	O	temporada	O
1	main	O	julio	O
1	main	O	en	O
1	examining	O	muerte	O
1	examining	O	temporada	O
1	examining	O	julio	O
1	examining	O	en	O
2	locality	O	fue	O
2	locality	O	9	O
2	locality	O	de	O
2	locality	O	la	O
2	of	O	fue	O
2	of	O	9	O
2	of	O	de	O
2	of	O	la	O
2	starred	O	fue	O
2	starred	O	9	O
2	starred	O	de	O
2	starred	O	la	O
2	was	O	fue	O
2	was	O	9	O
2	was	O	de	O
2	was	O	la	O
2	story	O	fue	O
2	story	O	9	O
2	story	O	de	O
2	story	O	la	O
2	shy	O	fue	O
2	shy	O	9	O
2	shy	O	de	O
2	shy	O	la	O
3	is	O	especialmente	O
3	is	O	fue	O
3	is	O	1942	O
3	the	O	especialmente	O
3	the	O	fue	O
3	the	O	1942	O
3	Cameron	I-PER	especialmente	O
3	Cameron	I-PER	fue	O
3	Cameron	I-PER	1942	O
3	written	O	especialmente	O
3	written	O	fue	O
3	written	O	1942	O
3	has	O	especialmente	O
3	has	O	fue	O
3	has	O	1942	O
3	adolescents	O	especialmente	O
3	adolescents	O	fue	O
3	adolescents	O	1942	O
5	.	O	en	O
5	.	O	en	O
5	.	O	su	O
5	.	O	Kansas	I-ORG
5	layer	O	en	O
5	layer	O	en	O
5	layer	O	su	O
5	layer	O	Kansas	I-ORG
5	and	O	en	O
5	and	O	en	O
5	and	O	su	O
5	and	O	Kansas	I-ORG
5	continued	O	en	O
5	continued	O	en	O
5	continued	O	su	O
5	continued	O	Kansas	I-ORG
5	university	O	en	O
5	university	O	en	O
5	university	O	su	O
5	university	O	Kansas	I-ORG
0	Common	O	La	O
0	Common	O	En	O
0	Common	O	Estudió	O
